year,month,campaign,cpc,impressions_per_day,ctr,cvr,roi,daily_sales,cpa,rpa,monthly_profit
1952,3,C,0.18,4905750.22,0.0402,0.0213,0.83,1237.16,2.28,11.64,145524.7
1952,3,D,0.13,2726336.94,0.0498,0.0138,0.53,1044.25,3.42,9.37,258059.51
1952,4,A,0.1,13465122.02,0.0489,0.0112,1.04,325.39,3.92,7.45,168666.48
1952,4,B,0.14,1304870.07,0.052,0.0327,1.54,1298.24,4.29,5.99,133710.83
1952,4,C,0.19,7273387.24,0.0502,0.0214,0.84,937.05,2.38,11.68,102370.84
1952,4,D,0.15,3526978.11,0.0598,0.0188,0.54,1305.79,2.81,8.42,264897.21
1952,5,A,0.12,18304806.23,0.0589,0.0165,1.05,209.06,3.47,4.35,185777.99
1952,5,B,0.15,1858710.87,0.0712,0.0346,1.55,1169.48,2.48,4.79,91880.83
1952,5,C,0.2,6109795.3,0.074,0.0263,0.855,1109.45,2.26,14.71,89413.54
1952,5,D,0.17,4167771.41,0.0698,0.0119,0.553,1258.91,2.34,9.97,133445.96
1952,6,A,0.13,24885927.63,0.0689,0.0212,1.06,145.01,2.11,2.41,195998.79
1952,6,B,0.17,2496910.05,0.0812,0.022,1.56,1416.82,3.19,3.69,130895.04
1952,6,C,0.21,6120781.07,0.1079,0.0334,0.865,1432.51,1.15,18.4,114573.36
1952,6,D,0.18,4195948.15,0.0798,0.0106,0.563,686.73,1.27,5.61,67780.68
1952,7,A,0.16,24301705.3,0.0947,0.0237,1.07,190.08,1.51,1.65,233143.1
1952,7,B,0.18,2631936.16,0.1006,0.0253,1.57,1350.52,2.89,3.43,94318.63
1952,7,C,0.24,4253493.41,0.1355,0.0191,0.895,862.77,0.72,23.64,171169.32
1952,7,D,0.2,4630134.29,0.1156,0.014,0.573,389.49,1.63,4.02,54334.26
1952,8,A,0.2,15635376.23,0.1315,0.0271,1.08,154.0,1.32,1.15,345559.3
1952,8,B,0.21,3546434.82,0.1106,0.0128,1.58,1350.37,1.7,3.5,61413.56
1952,8,C,0.3,4300272.07,0.1455,0.0124,0.905,593.94,0.9,26.36,221436.23
1952,8,D,0.24,6336909.32,0.1667,0.0192,0.583,415.31,1.67,2.57,46497.82
1952,9,A,0.24,19117387.18,0.1796,0.0387,1.09,105.27,1.32,1.32,338965.23
1952,9,B,0.22,4231253.81,0.1206,0.0096,1.59,917.5,1.74,1.87,80022.5
1952,9,C,0.32,2995268.71,0.1859,0.0094,0.932,435.28,0.65,24.7,141920.71
1952,9,D,0.25,6562360.05,0.1767,0.0101,0.593,362.73,1.11,1.54,26757.37
1952,10,A,0.25,14906814.02,0.1896,0.0399,1.1,112.85,0.69,1.35,211427.43
1952,10,B,0.23,2852799.69,0.1306,0.0143,1.6,791.0,1.0,1.61,58487.03
1952,10,C,0.36,3629290.05,0.2499,0.0067,0.942,389.89,0.81,17.62,123673.84
1952,10,D,0.28,7100073.41,0.1867,0.0061,0.603,258.44,1.11,0.97,33893.35
1952,11,A,0.34,18475262.03,0.2676,0.0214,1.11,77.99,0.37,0.99,109703.35
1952,11,B,0.24,2719881.68,0.1435,0.0198,1.61,940.53,1.26,1.54,56862.64
1952,11,C,0.39,4753013.14,0.2599,0.0085,0.952,213.66,0.59,19.23,141842.79
1952,11,D,0.34,6738853.39,0.2147,0.0072,0.613,366.73,1.12,0.63,28967.58
1952,12,A,0.37,15987334.53,0.2776,0.0126,1.12,54.05,0.27,0.58,152893.41
1952,12,B,0.25,3527266.16,0.1535,0.0286,1.62,1209.13,1.19,1.25,79582.45
1952,12,C,0.42,6361522.67,0.2699,0.0048,0.994,228.71,0.5,19.58,169033.93
1952,12,D,0.38,8204932.47,0.2455,0.0092,0.623,332.2,1.1,0.79,39173.16
1953,1,A,0.06,11641415.5,0.0189,0.0111,1.01,833.68,6.89,7.33,140691.44
1953,1,B,0.11,3294717.15,0.022,0.0161,1.51,1106.79,2.15,11.17,230291.23
1953,1,C,0.16,6837607.5,0.0202,0.009,0.81,805.94,5.58,9.6,128103.19
1953,1,D,0.11,3191475.62,0.0298,0.0194,0.51,779.74,8.47,12.08,170829.66
1953,2,A,0.07,14386303.8,0.0289,0.0148,1.02,988.61,6.19,9.09,117330.75
1953,2,B,0.12,3065306.02,0.032,0.0192,1.52,873.63,1.18,14.48,250301.59
1953,2,C,0.17,4009026.76,0.0302,0.0114,0.82,527.71,4.1,6.76,155393.57
1953,2,D,0.12,2434452.6,0.0398,0.0288,0.52,571.01,6.42,14.62,207388.18
1953,3,A,0.08,19975511.31,0.0389,0.0094,1.03,1024.46,5.61,11.79,104037.48
1953,3,B,0.13,3549486.99,0.042,0.0266,1.53,1201.62,0.8,15.78,177745.96
1953,3,C,0.18,2218210.36,0.0402,0.0096,0.83,507.98,4.21,7.19,89017.65
1953,3,D,0.14,3371852.89,0.0498,0.0409,0.53,809.39,7.58,16.76,278740.76
1953,4,A,0.1,29435849.63,0.0489,0.0051,1.04,1269.79,5.49,7.62,101587.84
1953,4,B,0.14,2957451.82,0.052,0.0385,1.54,1484.4,0.48,12.41,244381.37
1953,4,C,0.19,2965315.34,0.0502,0.0108,0.84,281.5,3.65,5.56,48020.8
1953,4,D,0.15,3642134.17,0.0598,0.039,0.54,811.35,9.43,12.68,339434.69
1953,5,A,0.11,38872307.4,0.0589,0.0037,1.05,1078.13,2.97,9.72,123673.88
1953,5,B,0.15,1930197.44,0.069,0.0327,1.55,1373.74,0.59,11.72,329398.86
1953,5,C,0.21,1771465.77,0.0602,0.0154,0.85,273.57,4.46,6.33,42698.17
1953,5,D,0.16,3947180.15,0.0698,0.0205,0.55,1086.89,7.15,12.96,232315.86
1953,6,A,0.12,25881760.68,0.0817,0.004,1.06,1577.24,3.73,6.25,160897.06
1953,6,B,0.16,1197304.67,0.079,0.0183,1.56,1371.7,0.68,10.73,410747.13
1953,6,C,0.22,2477164.63,0.0702,0.0114,0.86,227.31,2.48,5.31,40776.67
1953,6,D,0.17,4348068.89,0.0798,0.0261,0.564,1260.39,7.41,9.23,228673.16
1953,7,A,0.13,38578139.27,0.0917,0.0056,1.07,1058.55,4.0,3.67,103921.25
1953,7,B,0.17,1183196.56,0.089,0.0273,1.57,1438.48,0.67,9.63,612851.79
1953,7,C,0.24,1420819.99,0.0802,0.006,0.87,219.83,3.18,6.39,35425.43
1953,7,D,0.18,3491975.95,0.0898,0.0295,0.584,1760.44,8.81,9.09,189585.54
1953,8,A,0.14,43147051.27,0.1017,0.0061,1.085,1121.52,3.06,3.8,142410.92
1953,8,B,0.18,1513785.52,0.099,0.027,1.58,1776.22,0.82,8.31,519187.34
1953,8,C,0.25,988974.9,0.0978,0.0087,0.88,236.94,2.31,3.84,32618.74
1953,8,D,0.21,5198752.39,0.1005,0.0196,0.594,1418.36,9.85,4.56,254479.98
1953,9,A,0.16,28128238.82,0.1117,0.0081,1.109,597.19,3.6,2.09,204280.66
1953,9,B,0.19,1762412.04,0.1413,0.0259,1.59,1072.65,0.85,5.77,451819.03
1953,9,C,0.26,755818.44,0.1449,0.0065,0.89,335.12,2.67,2.11,43795.57
1953,9,D,0.22,6164398.84,0.1222,0.0238,0.608,768.1,6.57,5.57,291434.07
1953,10,A,0.19,23777329.58,0.1646,0.0099,1.119,664.44,3.95,1.91,160545.07
1953,10,B,0.21,1358200.0,0.1513,0.0151,1.6,1231.96,0.47,4.69,342482.53
1953,10,C,0.27,1079703.55,0.1549,0.0044,0.92,342.64,2.01,2.25,58962.56
1953,10,D,0.26,3891203.02,0.1322,0.0272,0.618,1107.65,5.12,4.87,185465.09
1953,11,A,0.2,30622736.74,0.2418,0.0121,1.129,472.78,4.82,2.04,147798.82
1953,11,B,0.28,1062576.6,0.1955,0.0169,1.61,730.49,0.45,5.86,189680.89
1953,11,C,0.28,884661.88,0.1649,0.0061,0.933,198.63,1.03,1.58,67119.29
1953,11,D,0.31,3681118.64,0.1588,0.0367,0.628,1352.9,3.96,6.17,228307.98
1953,12,A,0.21,36466423.11,0.3449,0.0179,1.175,535.05,2.71,1.24,81775.49
1953,12,B,0.31,983983.33,0.2055,0.0218,1.62,445.76,0.51,4.15,103914.69
1953,12,C,0.29,970529.04,0.1749,0.008,0.953,155.42,0.75,0.86,90400.84
1953,12,D,0.32,3511508.71,0.1914,0.0304,0.638,746.73,3.39,3.11,253338.12
1954,1,A,0.06,14998108.58,0.0189,0.0094,1.01,902.34,5.87,11.26,200817.6
1954,1,B,0.11,3691739.42,0.022,0.0153,1.51,633.72,4.41,10.84,189927.35
1954,1,C,0.16,4406566.17,0.0202,0.0105,0.81,1768.96,5.21,14.08,154686.69
1954,1,D,0.11,2037046.36,0.0298,0.0096,0.51,1071.67,8.45,11.7,223018.15
1954,2,A,0.07,20330456.88,0.0289,0.012,1.02,1245.29,6.16,13.56,182271.22
1954,2,B,0.12,5244619.32,0.032,0.0174,1.52,841.4,4.48,9.01,131478.07
1954,2,C,0.17,4702624.0,0.0302,0.0144,0.82,2419.14,3.59,11.03,208001.53
1954,2,D,0.12,2786648.92,0.0437,0.0107,0.52,1347.27,4.55,14.46,262346.18
1954,3,A,0.08,10815096.1,0.0389,0.0172,1.03,953.94,6.51,9.94,234700.3
1954,3,B,0.13,3451542.7,0.042,0.0232,1.53,1174.68,4.6,10.13,93678.34
1954,3,C,0.18,2356390.29,0.0402,0.011,0.83,2059.71,2.6,5.64,238057.81
1954,3,D,0.13,3212723.49,0.0537,0.0136,0.53,717.54,3.44,18.26,252795.59
1954,4,A,0.09,7805732.29,0.0489,0.0257,1.04,1227.23,7.95,5.9,228621.45
1954,4,B,0.14,5163077.13,0.052,0.0153,1.54,961.3,4.93,11.84,46912.01
1954,4,C,0.2,1600250.94,0.0586,0.0098,0.84,2885.98,3.23,5.65,162235.27
1954,4,D,0.14,2593679.16,0.0637,0.02,0.543,1016.87,2.49,19.97,359044.92
1954,5,A,0.1,8404729.2,0.0589,0.0352,1.05,1779.39,9.71,7.17,291031.82
1954,5,B,0.15,5136779.6,0.062,0.0142,1.55,820.98,5.95,11.57,49677.52
1954,5,C,0.21,1174308.18,0.0791,0.0094,0.85,4128.24,2.0,3.0,194684.68
1954,5,D,0.17,3113095.16,0.0793,0.0107,0.553,1021.2,2.84,12.21,269427.75
1954,6,A,0.13,10272355.26,0.0689,0.0512,1.06,924.18,10.2,6.67,243946.97
1954,6,B,0.18,4189984.11,0.072,0.0153,1.56,771.32,7.19,8.55,57632.87
1954,6,C,0.22,1025862.25,0.1112,0.0138,0.865,3351.04,2.14,3.5,176874.48
1954,6,D,0.2,2663438.35,0.0893,0.0139,0.574,1135.96,1.52,13.64,315085.21
1954,7,A,0.16,12381976.63,0.0789,0.0695,1.07,528.83,11.62,8.13,317264.88
1954,7,B,0.19,5146997.29,0.082,0.0211,1.57,946.24,7.27,10.43,36796.81
1954,7,C,0.23,588045.41,0.1438,0.0154,0.881,1718.28,1.86,1.78,221449.33
1954,7,D,0.23,1775613.97,0.1278,0.0151,0.584,1049.91,0.87,11.28,282621.92
1954,8,A,0.17,8900523.76,0.0889,0.0879,1.08,554.31,7.59,6.33,446479.19
1954,8,B,0.2,5341764.36,0.1028,0.0211,1.584,782.95,7.6,10.96,52423.2
1954,8,C,0.24,729704.16,0.1538,0.0101,0.908,2182.37,1.14,1.78,164346.04
1954,8,D,0.25,1194512.36,0.1386,0.0219,0.594,1393.17,0.71,13.23,244170.76
1954,9,A,0.19,6005558.27,0.1143,0.0551,1.09,356.38,6.58,7.1,473728.17
1954,9,B,0.21,5655682.24,0.1492,0.0296,1.599,597.11,4.02,8.03,64276.22
1954,9,C,0.25,912961.0,0.1638,0.0137,0.918,2754.46,1.32,1.95,109547.97
1954,9,D,0.26,670636.17,0.1486,0.0228,0.604,1163.89,0.56,14.42,142149.69
1954,10,A,0.24,3979954.45,0.1243,0.0345,1.1,366.14,6.6,6.59,654248.76
1954,10,B,0.22,5307464.18,0.1592,0.0157,1.609,324.98,2.44,9.37,60231.6
1954,10,C,0.27,1350404.25,0.1738,0.0129,0.955,2293.24,1.71,1.42,94338.58
1954,10,D,0.33,707120.82,0.1586,0.0198,0.634,1410.6,0.42,17.47,105847.78
1954,11,A,0.25,5202657.95,0.1405,0.0318,1.12,238.33,7.6,7.18,941566.89
1954,11,B,0.27,7575725.9,0.2229,0.0144,1.637,310.45,1.7,6.98,56666.08
1954,11,C,0.28,917038.45,0.2247,0.0183,0.965,2412.66,0.94,1.19,106463.78
1954,11,D,0.34,592780.2,0.1686,0.01,0.644,1202.95,0.46,15.56,147795.7
1954,12,A,0.26,5092863.91,0.1505,0.0164,1.13,145.78,5.02,4.98,1202175.45
1954,12,B,0.37,4031022.89,0.2736,0.0168,1.647,212.17,0.88,4.19,74596.47
1954,12,C,0.29,1316420.16,0.2347,0.0193,1.026,1597.78,0.76,0.66,159374.64
1954,12,D,0.35,727703.16,0.1786,0.0109,0.654,1727.19,0.41,16.3,112091.62
1955,1,A,0.06,16913507.43,0.0189,0.0126,1.01,977.85,5.44,11.9,198954.79
1955,1,B,0.11,4194409.19,0.022,0.0173,1.51,692.56,3.16,7.62,106853.71
1955,1,C,0.16,5409449.4,0.0202,0.0127,0.81,892.13,9.18,12.42,272043.67
1955,1,D,0.11,3255183.61,0.0298,0.0084,0.51,1124.33,4.11,11.5,100178.57
1955,2,A,0.07,9535496.49,0.0289,0.0082,1.02,788.01,5.92,9.49,193588.77
1955,2,B,0.12,2786049.36,0.032,0.0195,1.52,505.63,1.83,6.06,92961.14
1955,2,C,0.17,5900991.68,0.0302,0.014,0.82,739.5,4.91,13.47,377514.03
1955,2,D,0.12,3872196.01,0.0398,0.0116,0.52,1617.84,4.02,6.67,92470.82
1955,3,A,0.08,11824468.83,0.0389,0.012,1.03,1021.0,7.22,8.09,268411.05
1955,3,B,0.13,3554700.29,0.042,0.0197,1.53,307.59,2.06,4.7,115482.91
1955,3,C,0.18,7327001.84,0.0409,0.0099,0.83,569.61,3.6,16.61,324837.26
1955,3,D,0.13,4923373.44,0.0498,0.0076,0.53,1521.87,4.5,4.59,49758.77
1955,4,A,0.09,10616488.28,0.0489,0.0111,1.04,1297.57,6.0,8.53,201423.94
1955,4,B,0.14,2819016.59,0.052,0.012,1.54,304.9,1.84,5.36,90583.48
1955,4,C,0.19,8959306.33,0.0509,0.0067,0.84,463.57,4.12,15.67,422814.28
1955,4,D,0.14,4188704.34,0.0598,0.0058,0.54,1899.21,3.16,4.76,52799.64
1955,5,A,0.1,14223140.67,0.0589,0.0059,1.05,1666.3,6.99,6.12,224377.23
1955,5,B,0.15,2219138.01,0.0744,0.0093,1.55,366.73,1.09,6.73,70216.0
1955,5,C,0.2,7094059.65,0.0609,0.0076,0.85,495.45,4.94,18.68,431421.41
1955,5,D,0.17,4332722.76,0.0741,0.0056,0.552,1861.19,3.54,3.89,28987.99
1955,6,A,0.11,12903179.21,0.0689,0.0077,1.06,1255.08,4.83,7.77,200218.88
1955,6,B,0.16,2840565.76,0.0844,0.0049,1.56,498.83,0.96,4.47,63355.16
1955,6,C,0.21,5635432.27,0.0825,0.0081,0.86,444.75,2.53,18.72,228640.57
1955,6,D,0.18,2999485.52,0.1091,0.0033,0.574,2123.27,3.78,2.58,25202.08
1955,7,A,0.14,10407887.68,0.0789,0.0042,1.078,1575.78,5.97,9.93,227293.19
1955,7,B,0.17,1437951.13,0.0944,0.0063,1.57,559.32,0.61,4.97,42485.52
1955,7,C,0.22,3774806.64,0.0976,0.0105,0.87,301.11,2.87,16.51,290342.34
1955,7,D,0.2,3016652.17,0.1191,0.002,0.584,1131.38,2.06,2.73,27638.91
1955,8,A,0.15,7969619.04,0.1084,0.0053,1.088,1493.49,4.53,12.08,302924.89
1955,8,B,0.2,1776293.18,0.1044,0.0032,1.58,410.83,0.7,3.69,24232.84
1955,8,C,0.23,5643700.38,0.1087,0.0076,0.89,282.61,2.37,19.19,353764.79
1955,8,D,0.21,4374414.31,0.1291,0.0015,0.594,909.72,1.23,1.88,32381.63
1955,9,A,0.19,6621796.31,0.1461,0.0028,1.098,1911.22,2.28,15.28,317007.25
1955,9,B,0.21,2147702.7,0.1144,0.0028,1.59,568.15,0.74,2.51,13533.92
1955,9,C,0.24,5106679.71,0.1457,0.0065,0.9,376.98,1.6,19.35,222891.34
1955,9,D,0.22,3348101.96,0.1408,0.0019,0.604,488.08,1.16,2.13,16835.78
1955,10,A,0.2,7739021.94,0.1723,0.0021,1.108,1581.25,2.57,9.51,185103.64
1955,10,B,0.25,2858934.02,0.1244,0.0024,1.621,500.9,0.88,2.0,9842.56
1955,10,C,0.25,7333785.35,0.1749,0.0052,0.91,509.83,1.33,22.06,197261.77
1955,10,D,0.23,4084451.62,0.1508,0.0029,0.634,441.88,1.44,1.97,19125.93
1955,11,A,0.21,4177405.07,0.241,0.0026,1.118,1847.68,3.05,8.61,113126.33
1955,11,B,0.26,3361789.45,0.1857,0.0033,1.631,740.12,0.8,1.15,12997.13
1955,11,C,0.26,8761827.8,0.1849,0.006,0.956,623.31,1.4,21.78,219980.73
1955,11,D,0.24,4182781.05,0.2032,0.0034,0.644,491.59,1.59,1.07,16710.05
1955,12,A,0.22,5795159.95,0.2937,0.0033,1.128,2290.5,3.33,6.35,159889.03
1955,12,B,0.35,4888418.41,0.1957,0.0032,1.65,592.22,0.91,0.6,19261.78
1955,12,C,0.27,10244781.35,0.2761,0.0086,0.966,564.62,1.74,21.83,195126.62
1955,12,D,0.3,2421058.95,0.2132,0.0022,0.654,525.46,1.25,0.68,15568.05
